date,AQI,PM10,NO2,SO2,O3,Temperature,Humidity,Precipitation,month,log_PM2.5,log_CO,season_Spring,season_Summer,season_Winter,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,AQI_t+1,AQI_t+2,AQI_t+3,AQI_lag_1,AQI_lag_2,AQI_roll_mean_3,AQI_roll_std_3,AQI_diff
2023-06-19,83.83333333333333,71.18333333333334,7.125,8.137500000000001,62.41666666666666,30.066666666666663,74.54166666666667,0.0,6,3.3113030651141275,5.3371373583976185,False,True,False,False,False,False,False,False,False,77.5,75.66666666666667,71.08333333333333,81.45833333333333,76.70833333333333,72.40277777777777,11.812285663349215,4.75
2023-06-20,77.5,67.47916666666667,7.1000000000000005,8.208333333333334,66.25,30.616666666666664,69.29166666666667,0.0,6,3.228000732645201,5.329694902240292,False,True,False,True,False,False,False,False,False,75.66666666666667,71.08333333333333,69.20833333333333,83.83333333333333,81.45833333333333,80.66666666666666,3.627872425170107,2.375
2023-06-21,75.66666666666667,65.55416666666666,8.420833333333333,9.5,61.208333333333336,30.58333333333333,73.5,0.0,6,3.191161986300685,5.419797264085746,False,True,False,False,True,False,False,False,False,71.08333333333333,69.20833333333333,69.08333333333333,77.5,83.83333333333333,80.93055555555556,3.1994827417554914,-6.333333333333329
2023-06-22,71.08333333333333,54.5,8.5375,9.975,57.625,30.204166666666666,76.875,0.0,6,3.0761595226666056,5.41665580349612,False,True,False,False,False,True,False,False,False,69.20833333333333,69.08333333333333,66.875,75.66666666666667,77.5,79.0,4.284986710724632,-1.8333333333333286
2023-06-23,69.20833333333333,56.81666666666666,7.983333333333333,9.466666666666669,55.79166666666666,30.129166666666663,76.16666666666667,0.0,6,3.10065519348077,5.355209541245786,False,True,False,False,False,False,True,False,False,69.08333333333333,66.875,69.125,71.08333333333333,75.66666666666667,74.75,3.3050886691713615,-4.583333333333343
2023-06-24,69.08333333333333,51.25416666666666,8.558333333333334,10.108333333333333,53.375,30.1125,77.95833333333333,0.0,6,3.086106046903494,5.403802874394014,False,True,False,False,False,False,False,True,False,66.875,69.125,72.58333333333333,69.20833333333333,71.08333333333333,71.9861111111111,3.322464920525242,-1.875
2023-06-25,66.875,47.65833333333333,9.5,11.633333333333333,58.54166666666666,30.33333333333333,78.58333333333333,0.0,6,3.041541809585285,5.534541657400776,False,True,False,False,False,False,False,False,True,69.125,72.58333333333333,74.75,69.08333333333333,69.20833333333333,69.79166666666666,1.1203608049664298,-0.125
2023-06-26,69.125,50.48333333333333,9.433333333333334,13.425,63.04166666666666,30.4875,77.125,0.0,6,3.1229154337222895,5.593936606184296,False,True,False,False,False,False,False,False,False,72.58333333333333,74.75,63.333333333333336,66.875,69.08333333333333,68.38888888888889,1.3125551134702913,-2.2083333333333286
2023-06-27,72.58333333333333,63.80833333333334,8.891666666666667,11.779166666666669,64.125,30.6375,76.125,0.0,6,3.223697515147414,5.510399970502822,False,True,False,True,False,False,False,False,False,74.75,63.333333333333336,56.958333333333336,69.125,66.875,68.3611111111111,1.2871785826662812,2.25
2023-06-28,74.75,58.1125,6.666666666666667,4.366666666666666,54.875,30.84583333333333,75.5,0.0,6,3.0972730031089517,5.080886632640514,False,True,False,False,True,False,False,False,False,63.333333333333336,56.958333333333336,69.91666666666667,72.58333333333333,69.125,69.52777777777777,2.8754025483028176,3.4583333333333286
